City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
386,Benguela,AO,77.27,clear sky,-12.5763,13.4055,Hotel Praia Morena
388,Cabo San Lucas,MX,71.51,clear sky,22.8909,-109.9124,Vista Roof Restaurant
390,Norrkoping,SE,59.99,moderate rain,58.5942,16.1826,The Lamp Hotel
391,Acapulco,MX,82.71,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
392,Margate,GB,67.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
393,Felanitx,ES,76.96,scattered clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
394,Sibolga,ID,78.93,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
396,Laguna,US,69.94,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
397,Shingu,JP,68.31,moderate rain,33.7333,135.9833,Shingu UI Hotel
398,Sao Filipe,CV,73.71,few clouds,14.8961,-24.4956,Hotel Xaguate
400,Itabira,BR,71.44,broken clouds,-19.6192,-43.2269,Premium Executive Hotel
401,Sorong,ID,80.85,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
402,Asfi,MA,70.92,few clouds,32.2994,-9.2372,Hôtel Abda
405,Panalingaan,PH,79.92,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
406,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
407,Makungu,TZ,70.81,scattered clouds,-8.7333,35.2833,Complex
409,San Bartolome De Tirajana,ES,64.87,few clouds,27.9248,-15.5733,Las Tirajanas
410,Honiara,SB,77.94,overcast clouds,-9.4333,159.95,Heritage Park Hotel
411,Nishihara,JP,69.85,moderate rain,26.1842,127.7558,Minshuku Agaihama
413,Beyla,GN,80.85,moderate rain,8.6833,-8.6333,DIAN SINKO
415,Antalaha,MG,76.77,clear sky,-14.9003,50.2788,Hotel Vitasoa
416,Ternate,ID,81.59,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
417,Kudahuvadhoo,MV,83.62,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
421,Nampula,MZ,80.55,broken clouds,-15.1165,39.2666,Ruby Backpackers
422,Kavaratti,IN,83.26,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
427,Varkaus,FI,60.31,overcast clouds,62.3153,27.873,Hotel Oscar
428,Maarianhamina,AX,57.06,clear sky,60.0973,19.9348,Park Alandia Hotel
